call date,call duration,who call who
October 1,30,Fi
October 2,48,Fi
October 3,4,Penn
October 4,8,Fi
October 5,62,Penn
October 6,31,Penn
October 7,27,Penn
October 9,36,Penn
October 10,107,Penn
October 11,82,Fi
October 12,15,Fi
October 13,41,FI
October 14,70,Penn
October 15,34,Penn
October 16,21,Penn
October 17,78,Penn
October 18,14,Penn
October 19,21,Fi
October 21,38,Penn
October 22,33,Fi
October 23,44,FI
October 24,15,Penn
October 25,102,Penn
October 26,9,Fi
October 27,60,Fi
October 28,64,Penn
